r,black,S,K,tau,optionValue
0.03147,Over,431.6185995,460,0.293650794,1.255000003
0.03147,Over,434.7728549,450,0.043650794,0.125004034
0.03147,Under,434.7728549,430,0.043650794,7.208136262
0.03147,Under,432.6332958,420,0.182539683,18.29407917
0.03147,Under,432.6332958,435,0.182539683,7.500000001
0.03147,Over,431.6185995,440,0.293650794,7.000000794
0.03147,Over,431.6185995,445,0.293650794,5.189999998
0.03147,Under,432.6332958,430,0.182539683,10.60136174
0.03147,Under,431.6185995,415,0.293650794,24.50102757
0.03147,Over,434.7728549,445,0.043650794,0.470000001
0.03147,Under,431.6185995,430,0.293650794,13.07400766
0.03147,Over,432.6332958,440,0.182539683,5.06500446
0.03147,Under,434.7728549,420,0.043650794,15.97440879
0.03147,Over,432.6332958,450,0.182539683,1.815001776
0.03147,Under,434.7728549,400,0.043650794,35.48195643
0.03147,Under,434.7728549,425,0.043650794,11.45127253
0.03147,Under,434.7728549,410,0.043650794,25.68068132
0.03147,Under,431.6185995,435,0.293650794,10
0.03147,Under,431.6185995,425,0.293650794,16.27801378
0.03147,Over,432.6332958,460,0.182539683,0.470000568
0.03147,Under,431.6185995,400,0.293650794,37.36304823
0.03147,Under,431.6185995,405,0.293650794,32.84904134
0.03147,Over,432.6332958,455,0.182539683,0.970000002
0.03147,Over,432.6332958,445,0.182539683,3.190000005
0.03147,Under,431.6185995,395,0.293650794,41.75705513
0.03147,Under,431.6185995,375,0.293650794,60.7880836
0.03147,Under,432.6332958,425,0.182539683,14.19271944
0.03147,Under,431.6185995,380,0.293650794,55.9590758
0.03147,Under,431.6185995,385,0.293650794,51.19507181
0.03147,Under,434.7728549,415,0.043650794,20.75254633
0.03147,Under,432.6332958,415,0.182539683,22.48043889
0.03147,Under,431.6185995,420,0.293650794,20.17202067
0.03147,Under,431.6185995,390,0.293650794,46.52106202
0.03147,Under,434.7728549,435,0.043650794,3.875000001
0.03147,Over,431.6185995,455,0.293650794,2.125004383
0.03147,Over,434.7728549,440,0.043650794,1.755000002
0.03147,Under,432.6332958,410,0.182539683,26.82679861
0.03147,Under,431.6185995,410,0.293650794,28.51503445
0.03147,Over,431.6185995,450,0.293650794,3.1900001
0.03147,Under,434.7728549,405,0.043650794,30.57882854
0.03178,Under,430.6387189,385,0.28968254,50.29180677
0.03178,Over,433.8867624,445,0.03968254,0.345000005
0.03178,Under,430.6387189,420,0.28968254,19.30254203
0.03178,Under,432.0383665,425,0.178571429,13.44841072
0.03178,Over,432.0383665,455,0.178571429,0.815000008
0.03178,Under,432.0383665,415,0.178571429,21.64182146
0.03178,Under,433.8867624,420,0.03968254,14.94609527
0.03178,Over,432.0383665,465,0.178571429,0.190000002
0.03178,Under,432.0383665,430,0.178571429,9.91170688
0.03178,Under,432.0383665,390,0.178571429,45.00034846
0.03178,Over,432.0383665,440,0.178571429,4.440000003
0.03178,Over,430.6387189,455,0.28968254,1.84501117
0.03178,Over,432.0383665,450,0.178571429,1.440009424
0.03178,Under,430.6387189,375,0.28968254,59.82516913
0.03178,Under,430.6387189,410,0.28968254,27.58590338
0.03178,Under,432.0383665,405,0.178571429,30.70523217
0.03178,Under,433.8867624,400,0.03968254,34.5508912
0.03178,Under,433.8867624,430,0.03968254,6.303698419
0.03178,Under,430.6387189,400,0.28968254,36.42926474
0.03178,Under,433.8867624,405,0.03968254,29.58719291
0.03178,Under,433.8867624,410,0.03968254,24.65349433
0.03178,Under,430.6387189,430,0.28968254,12.14418104
0.03178,Over,430.6387189,475,0.28968254,0.125000735
0.03178,Over,430.6387189,465,0.28968254,0.565001327
0.03178,Under,430.6387189,390,0.28968254,45.55762609
0.03178,Over,430.6387189,470,0.28968254,0.255000005
0.03178,Over,433.8867624,440,0.03968254,1.065000102
0.03178,Over,430.6387189,450,0.28968254,3.190000091
0.03178,Over,432.0383665,445,0.178571429,2.755000023
0.03178,Over,430.6387189,440,0.28968254,6.500003051
0.03178,Under,430.6387189,380,0.28968254,54.87599552
